Date,Close,High,Low,Open,Volume
,MKR-USD,MKR-USD,MKR-USD,MKR-USD,MKR-USD
2022-12-29,520.0272827148438,527.1743774414062,511.73333740234375,518.1737060546875,14501940
2022-12-30,522.248046875,523.4122314453125,510.4425964355469,520.03662109375,16463056
2022-12-31,510.5272216796875,529.3020629882812,508.399169921875,522.3773193359375,23700703
2023-01-01,513.0187377929688,514.5331420898438,505.8958435058594,510.66473388671875,16845169
2023-01-02,511.66656494140625,517.5752563476562,507.66229248046875,513.0529174804688,17552136
2023-01-03,505.0352478027344,515.8814697265625,503.72418212890625,511.76959228515625,19088773
2023-01-04,518.8180541992188,522.3601684570312,504.23687744140625,504.9839782714844,33049795
2023-01-05,527.2825927734375,533.0162353515625,516.7049560546875,518.8431396484375,25958865
2023-01-06,539.4475708007812,539.8974609375,517.7249145507812,527.2799682617188,21649093
2023-01-07,552.639892578125,554.0303344726562,538.6549682617188,539.39453125,26307303
2023-01-08,592.6702270507812,592.700439453125,546.8093872070312,552.5842895507812,38920445
2023-01-09,617.2991943359375,655.0900268554688,588.45556640625,592.5690307617188,59901332
2023-01-10,631.6663208007812,638.3054809570312,613.3475341796875,617.0911865234375,26712489
2023-01-11,636.578125,636.9276733398438,609.4974975585938,631.6613159179688,22710675
2023-01-12,652.57568359375,656.9008178710938,625.327880859375,644.3948364257812,27371749
2023-01-13,688.4780883789062,690.9177856445312,644.7638549804688,652.4845581054688,26137928
2023-01-14,709.341796875,740.0059204101562,688.3672485351562,688.3672485351562,49339137
2023-01-15,700.1795043945312,712.0473022460938,676.224365234375,709.3961791992188,34089947
2023-01-16,688.28125,730.1212768554688,676.5578002929688,700.2012329101562,37467167
2023-01-17,696.421630859375,725.9534912109375,680.5772705078125,688.5204467773438,29364394
2023-01-18,639.9946899414062,714.4053955078125,637.5720825195312,696.3963623046875,33142034
2023-01-19,665.7739868164062,668.672607421875,637.033935546875,639.8640747070312,25660238
2023-01-20,716.1292114257812,716.1474609375,655.4276733398438,665.7560424804688,22457951
2023-01-21,699.5333862304688,731.6527709960938,699.5333862304688,716.1278686523438,29469999
2023-01-22,709.6555786132812,736.8298950195312,695.9701538085938,699.5181274414062,23826271
2023-01-23,705.3880615234375,724.41162109375,694.9334106445312,709.5509033203125,24565163
2023-01-24,665.3157958984375,716.2462158203125,660.6397705078125,705.2213745117188,25586245
2023-01-25,668.8453369140625,681.4097290039062,650.2587280273438,665.3349609375,28212528
2023-01-26,658.4266967773438,676.5150756835938,654.8795776367188,668.7227783203125,25213499
2023-01-27,670.915283203125,672.65185546875,646.29345703125,658.325439453125,24640583
2023-01-28,655.5947875976562,684.8182983398438,649.6008911132812,670.9788208007812,20285031
2023-01-29,675.1841430664062,675.5984497070312,652.15771484375,655.8576049804688,21479087
2023-01-30,634.8710327148438,677.0905151367188,627.1050415039062,675.2380981445312,26633817
2023-01-31,655.2039184570312,657.4113159179688,632.4869384765625,634.97412109375,20022622
2023-02-01,668.7462768554688,671.34375,624.483154296875,655.1658935546875,25030626
2023-02-02,670.57421875,705.3182373046875,668.5676879882812,668.6111450195312,34837766
2023-02-03,696.2058715820312,699.0338745117188,669.6213989257812,670.4721069335938,26630822
2023-02-04,701.3508911132812,722.9268188476562,691.0188598632812,696.2208862304688,28329493
2023-02-05,695.0135498046875,720.5130004882812,680.59521484375,701.2781372070312,33674186
2023-02-06,693.7000122070312,706.5719604492188,683.2980346679688,694.7784423828125,31627217
2023-02-07,789.4988403320312,794.8770141601562,688.7007446289062,693.7340087890625,50083655
2023-02-08,781.3359375,815.7747802734375,749.353271484375,789.494873046875,51896038
2023-02-09,709.9113159179688,792.3031616210938,704.5618896484375,781.4912109375,53668793
2023-02-10,712.9164428710938,735.1400756835938,705.2405395507812,709.9450073242188,31878097
2023-02-11,723.5496215820312,731.6066284179688,710.8460083007812,712.9603881835938,23975754
2023-02-12,684.7098388671875,724.3081665039062,680.8477783203125,723.4820556640625,25921892
2023-02-13,770.1089477539062,781.0508422851562,661.6668701171875,684.7735595703125,92102614
2023-02-14,740.756591796875,773.5319213867188,734.9181518554688,769.947509765625,57427961
2023-02-15,760.2007446289062,760.530517578125,726.9636840820312,740.7156982421875,47560869
2023-02-16,706.2236328125,776.929931640625,705.6185302734375,760.0760498046875,53972684
2023-02-17,726.03759765625,735.4601440429688,704.3607177734375,706.3125610351562,40039703
2023-02-18,728.9971313476562,734.7434692382812,723.0177001953125,726.0988159179688,26458441
2023-02-19,737.3815307617188,767.4229736328125,723.1946411132812,728.994873046875,38873628
2023-02-20,770.1691284179688,774.0276489257812,721.1243286132812,737.7306518554688,36219723
2023-02-21,786.9889526367188,786.9889526367188,756.6099853515625,770.1693115234375,40186852
2023-02-22,760.2623901367188,791.799560546875,735.7752685546875,787.0003662109375,37563771
2023-02-23,740.7547607421875,780.1890869140625,738.9961547851562,760.2212524414062,28798198
2023-02-24,713.2276000976562,746.6627807617188,701.2229614257812,740.75927734375,27600405
2023-02-25,706.3668823242188,716.73681640625,683.1876220703125,713.3193359375,25496636
2023-02-26,775.5320434570312,777.2294311523438,704.78271484375,706.323486328125,52887692
2023-02-27,788.4426879882812,811.6257934570312,763.2188110351562,775.4893188476562,57195325
2023-02-28,791.4266357421875,800.2416381835938,765.9241333007812,788.4583740234375,44572661
2023-03-01,927.9334106445312,948.4111938476562,787.6492919921875,791.4150390625,163217672
2023-03-02,883.2493286132812,945.56982421875,876.046875,927.647216796875,74303183
2023-03-03,893.4088745117188,949.5021362304688,839.5932006835938,883.157470703125,111387747
2023-03-04,858.0084838867188,919.9215087890625,847.4396362304688,892.0326538085938,55189668
2023-03-05,948.1517944335938,971.1785278320312,858.234130859375,858.234130859375,102588030
2023-03-06,910.7695922851562,957.1719970703125,909.5127563476562,948.1235961914062,70496369
2023-03-07,922.3786010742188,926.2920532226562,881.9448852539062,910.6932373046875,64903147
2023-03-08,874.7227783203125,932.9843139648438,858.9799194335938,922.262451171875,71555525
2023-03-09,810.1728515625,888.32666015625,801.0112915039062,874.2350463867188,60765744
2023-03-10,781.2390747070312,810.1616821289062,759.0093383789062,810.1616821289062,63545842
2023-03-11,728.6910400390625,797.0821533203125,611.4879760742188,781.2573852539062,253784672
2023-03-12,903.781982421875,904.42041015625,667.3523559570312,728.6810913085938,157286130
2023-03-13,911.468505859375,968.9246826171875,847.5374145507812,903.7556762695312,246085014
2023-03-14,862.153564453125,919.613525390625,843.08349609375,911.5399169921875,128974547
2023-03-15,747.7926635742188,883.479736328125,716.346923828125,862.3753051757812,126343325
2023-03-16,707.7316284179688,752.34130859375,707.7316284179688,748.0354614257812,96653856
2023-03-17,729.7171630859375,757.8916625976562,694.7537841796875,707.6737060546875,171506041
2023-03-18,686.1724853515625,753.236572265625,684.9102172851562,730.0723876953125,119808723
2023-03-19,688.5506591796875,711.5105590820312,686.1964111328125,686.1964111328125,79605211
2023-03-20,668.9738159179688,715.5689697265625,665.833251953125,688.5964965820312,84590818
2023-03-21,692.9022216796875,702.7597045898438,654.5497436523438,669.5148315429688,64478549
2023-03-22,670.4651489257812,692.8479614257812,648.5303344726562,692.8479614257812,60547510
2023-03-23,680.482666015625,694.8435668945312,666.2767944335938,670.374267578125,52349912
2023-03-24,672.402587890625,710.2866821289062,656.334716796875,680.55859375,66136765
2023-03-25,666.7848510742188,683.572021484375,656.0633544921875,672.5716552734375,39123806
2023-03-26,671.6508178710938,683.3201293945312,663.033447265625,666.7797241210938,35664996
2023-03-27,675.912109375,680.1929931640625,632.8187866210938,671.2283935546875,52392699
2023-03-28,675.6837158203125,690.0850219726562,669.0191650390625,675.9410400390625,53090728
2023-03-29,691.730712890625,704.60009765625,672.5960693359375,675.6748046875,60473166
2023-03-30,675.6600341796875,697.9666748046875,664.6885375976562,691.8765869140625,52697410
2023-03-31,686.9022827148438,693.706298828125,668.140869140625,675.7958984375,41515986
2023-04-01,686.9337158203125,695.0845947265625,682.7615356445312,686.8712158203125,35034932
2023-04-02,673.4818115234375,695.3759155273438,666.5654907226562,690.9752197265625,30392710
2023-04-03,673.5184326171875,684.9539184570312,657.7930908203125,673.5025634765625,47137039
2023-04-04,680.5634765625,682.8599243164062,670.5402221679688,673.4282836914062,32190184
2023-04-05,692.920166015625,696.5108642578125,673.5760498046875,680.5814819335938,43259563
2023-04-06,719.4263916015625,733.0841674804688,683.2554321289062,692.9616088867188,96268687
2023-04-07,696.15576171875,720.1396484375,689.5194702148438,719.4228515625,42480712
2023-04-08,688.7444458007812,696.72900390625,685.1412963867188,696.068359375,41962062
2023-04-09,706.52294921875,710.1400146484375,685.7959594726562,688.6891479492188,32404440
2023-04-10,725.8758544921875,728.256103515625,697.9122924804688,706.482421875,46280293
2023-04-11,726.480224609375,730.1259155273438,714.945068359375,725.88525390625,48237131
2023-04-12,726.69921875,729.0791015625,695.24609375,726.48681640625,41113374
2023-04-13,753.8428344726562,753.9965209960938,722.4662475585938,725.8057250976562,45034984
2023-04-14,773.7247924804688,785.6102905273438,752.6097412109375,753.8578491210938,65416242
2023-04-15,778.4561767578125,784.553955078125,763.8167114257812,773.7046508789062,46751937
2023-04-16,801.0784912109375,801.2437744140625,768.4403686523438,778.413818359375,46222072
2023-04-17,780.4559326171875,814.7550659179688,778.139892578125,801.0858764648438,46373714
2023-04-18,789.7437744140625,802.9395751953125,771.9776000976562,780.5773315429688,35213845
2023-04-19,724.1227416992188,789.6087036132812,715.5676879882812,789.6087036132812,51339251
2023-04-20,715.7362670898438,737.2413940429688,705.1414794921875,723.885986328125,51309817
2023-04-21,676.9913940429688,723.1016235351562,673.7839965820312,715.6742553710938,33473839
2023-04-22,698.8196411132812,701.8598022460938,676.0559692382812,676.9685668945312,24782666
2023-04-23,688.8113403320312,698.8133544921875,673.1510009765625,698.8133544921875,21653294
2023-04-24,682.2557373046875,696.9711303710938,676.29296875,688.8180541992188,20848099
2023-04-25,692.4833984375,694.9171142578125,669.8626708984375,682.1112670898438,22168549
2023-04-26,689.272705078125,722.880859375,661.0888671875,692.43310546875,34101454
2023-04-27,702.824462890625,706.4920043945312,685.622314453125,689.3092651367188,25703181
2023-04-28,698.9267578125,703.6157836914062,692.7446899414062,702.8929443359375,19929561
